county,technology,columns,candidate,votes
StLucie,Optical,1,Buchanan,124
Sumter,Votomatic,1,Buchanan,114
Suwannee,Optical,2,Buchanan,108
Taylor,Optical,2,Buchanan,27
Union,Hand,2,Buchanan,37
Volusia,Optical,1,Buchanan,498
Wakulla,Datavote,1,Buchanan,46
Walton,Optical,1,Buchanan,120
Washington,Optical,1,Buchanan,88
Alachua,Optical,1,McReynolds,4
Baker,Optical,1,McReynolds,0
Bay,Optical,1,McReynolds,3
Bradford,Optical,2,McReynolds,0
Brevard,Optical,1,McReynolds,11
Broward,Votomatic,1,McReynolds,37
Calhoun,Optical,1,McReynolds,1
Charlotte,Optical,2,McReynolds,3
Citrus,Optical,1,McReynolds,0
Clay,Optical,1,McReynolds,3
Collier,Votomatic,1,McReynolds,4
Columbia,Optical,1,McReynolds,2
DeSoto,Datavote,2,McReynolds,3
Dixie,Datavote,1,McReynolds,0
Duval,Votomatic,2,McReynolds,15
Escambia,Optical,1,McReynolds,3
Flagler,Optical,1,McReynolds,3
Franklin,Optical,2,McReynolds,0
Gadsden,Optical,2,McReynolds,4
Gilchrist,Datavote,1,McReynolds,0
Glades,Datavote,1,McReynolds,1
Gulf,Optical,2,McReynolds,2
Hamilton,Optical,2,McReynolds,8
Hardee,Datavote,1,McReynolds,0
Hendry,Optical,2,McReynolds,2
Hernando,Optical,1,McReynolds,4
Highlands,Votomatic,1,McReynolds,3
Hillsborough,Votomatic,1,McReynolds,29
Holmes,Optical,1,McReynolds,3
IndianRiver,Votomatic,1,McReynolds,2
Jackson,Optical,2,McReynolds,1
Jefferson,Datavote,1,McReynolds,1
Lafayette,Optical,2,McReynolds,1
Lake,Optical,1,McReynolds,1
Lee,Votomatic,1,McReynolds,5
Leon,Optical,1,McReynolds,7
Levy,Optical,2,McReynolds,1
Liberty,Optical,2,McReynolds,0
Madison,Datavote,1,McReynolds,1
Manatee,Optical,1,McReynolds,3
Marion,Votomatic,1,McReynolds,6
Martin,Lever,1,McReynolds,7
MiamiDade,Votomatic,1,McReynolds,35
Monroe,Optical,1,McReynolds,0
Nassau,Datavote,2,McReynolds,4
Okaloosa,Optical,1,McReynolds,2
Okeechobee,Optical,2,McReynolds,1
Orange,Optical,1,McReynolds,7
Osceola,Votomatic,1,McReynolds,5
PalmBeach,Votomatic,2,McReynolds,302
Pasco,Votomatic,1,McReynolds,14
Pinellas,Votomatic,1,McReynolds,27
Polk,Optical,1,McReynolds,5
Putnam,Optical,1,McReynolds,3
SantaRosa,Optical,1,McReynolds,1
